,dataset,cleaned,round,model,testAccuracy
0,AIDS,yes,0,DK,0.9414414414414415
1,AIDS,yes,0,uGCN,0.8648648648648649
2,AIDS,yes,0,Mix,0.8828828828828829
3,AIDS,yes,0,GCN-A,0.8171171171171171
4,AIDS,yes,0,GCN-B,0.8558558558558559
5,AIDS,yes,1,DK,0.972972972972973
6,AIDS,yes,1,uGCN,0.9009009009009009
7,AIDS,yes,1,Mix,0.9414414414414415
8,AIDS,yes,1,GCN-A,0.8054054054054054
9,AIDS,yes,1,GCN-B,0.8468468468468469
10,AIDS,yes,2,DK,0.972972972972973
11,AIDS,yes,2,uGCN,0.9234234234234234
12,AIDS,yes,2,Mix,0.9324324324324325
13,AIDS,yes,2,GCN-A,0.8072072072072072
14,AIDS,yes,2,GCN-B,0.8423423423423423
15,AIDS,yes,3,DK,0.963963963963964
16,AIDS,yes,3,uGCN,0.8648648648648649
17,AIDS,yes,3,Mix,0.8963963963963963
18,AIDS,yes,3,GCN-A,0.804954954954955
19,AIDS,yes,3,GCN-B,0.8378378378378378
20,AIDS,yes,4,DK,0.9594594594594594
21,AIDS,yes,4,uGCN,0.9009009009009009
22,AIDS,yes,4,Mix,0.9324324324324325
23,AIDS,yes,4,GCN-A,0.8202702702702702
24,AIDS,yes,4,GCN-B,0.8513513513513513
25,AIDS,yes,5,DK,0.954954954954955
26,AIDS,yes,5,uGCN,0.8828828828828829
27,AIDS,yes,5,Mix,0.918918918918919
28,AIDS,yes,5,GCN-A,0.8004504504504505
29,AIDS,yes,5,GCN-B,0.8378378378378378
30,AIDS,yes,6,DK,0.9504504504504504
31,AIDS,yes,6,uGCN,0.8918918918918919
32,AIDS,yes,6,Mix,0.918918918918919
33,AIDS,yes,6,GCN-A,0.813963963963964
34,AIDS,yes,6,GCN-B,0.8468468468468469
35,AIDS,yes,7,DK,0.963963963963964
36,AIDS,yes,7,uGCN,0.9009009009009009
37,AIDS,yes,7,Mix,0.9369369369369369
38,AIDS,yes,7,GCN-A,0.8243243243243242
39,AIDS,yes,7,GCN-B,0.8468468468468469
40,AIDS,yes,8,DK,0.972972972972973
41,AIDS,yes,8,uGCN,0.9369369369369369
42,AIDS,yes,8,Mix,0.9414414414414415
43,AIDS,yes,8,GCN-A,0.8076576576576576
44,AIDS,yes,8,GCN-B,0.8378378378378378
45,AIDS,yes,9,DK,0.9414414414414415
46,AIDS,yes,9,uGCN,0.8468468468468469
47,AIDS,yes,9,Mix,0.9234234234234234
48,AIDS,yes,9,GCN-A,0.8306306306306306
49,AIDS,yes,9,GCN-B,0.8513513513513513
50,AIDS,yes,10,DK,0.9684684684684685
51,AIDS,yes,10,uGCN,0.8918918918918919
52,AIDS,yes,10,Mix,0.9369369369369369
53,AIDS,yes,10,GCN-A,0.8495495495495495
54,AIDS,yes,10,GCN-B,0.8738738738738738
55,AIDS,yes,11,DK,0.9324324324324325
56,AIDS,yes,11,uGCN,0.8963963963963963
57,AIDS,yes,11,Mix,0.918918918918919
58,AIDS,yes,11,GCN-A,0.8121621621621623
59,AIDS,yes,11,GCN-B,0.8378378378378378
60,AIDS,no,0,DK,0.98
61,AIDS,no,0,uGCN,0.94
62,AIDS,no,0,Mix,0.94
63,AIDS,no,0,GCN-A,0.88025
64,AIDS,no,0,GCN-B,0.9
65,AIDS,no,1,DK,0.98
66,AIDS,no,1,uGCN,0.9275
67,AIDS,no,1,Mix,0.9425
68,AIDS,no,1,GCN-A,0.87225
69,AIDS,no,1,GCN-B,0.8875
70,AIDS,no,2,DK,0.9775
71,AIDS,no,2,uGCN,0.95
72,AIDS,no,2,Mix,0.9675
73,AIDS,no,2,GCN-A,0.8797499999999999
74,AIDS,no,2,GCN-B,0.905
75,AIDS,no,3,DK,0.9725
76,AIDS,no,3,uGCN,0.9425
77,AIDS,no,3,Mix,0.9625
78,AIDS,no,3,GCN-A,0.9075000000000001
79,AIDS,no,3,GCN-B,0.92
80,AIDS,no,4,DK,0.9775
81,AIDS,no,4,uGCN,0.9325
82,AIDS,no,4,Mix,0.9475
83,AIDS,no,4,GCN-A,0.8792499999999999
84,AIDS,no,4,GCN-B,0.905
85,AIDS,no,5,DK,0.9675
86,AIDS,no,5,uGCN,0.925
87,AIDS,no,5,Mix,0.9575
88,AIDS,no,5,GCN-A,0.8815
89,AIDS,no,5,GCN-B,0.9
90,AIDS,no,6,DK,0.975
91,AIDS,no,6,uGCN,0.925
92,AIDS,no,6,Mix,0.965
93,AIDS,no,6,GCN-A,0.8807499999999999
94,AIDS,no,6,GCN-B,0.9025
95,AIDS,no,7,DK,0.9825
96,AIDS,no,7,uGCN,0.9125
97,AIDS,no,7,Mix,0.94
98,AIDS,no,7,GCN-A,0.87625
99,AIDS,no,7,GCN-B,0.905
100,AIDS,no,8,DK,0.975
101,AIDS,no,8,uGCN,0.9325
102,AIDS,no,8,Mix,0.9575
103,AIDS,no,8,GCN-A,0.881
104,AIDS,no,8,GCN-B,0.9
105,AIDS,no,9,DK,0.9775
106,AIDS,no,9,uGCN,0.92
107,AIDS,no,9,Mix,0.945
108,AIDS,no,9,GCN-A,0.8782499999999999
109,AIDS,no,9,GCN-B,0.8975
110,AIDS,no,10,DK,0.9775
111,AIDS,no,10,uGCN,0.925
112,AIDS,no,10,Mix,0.9475
113,AIDS,no,10,GCN-A,0.8564999999999999
114,AIDS,no,10,GCN-B,0.89
115,AIDS,no,11,DK,0.9875
116,AIDS,no,11,uGCN,0.93
117,AIDS,no,11,Mix,0.9475
118,AIDS,no,11,GCN-A,0.8975000000000002
119,AIDS,no,11,GCN-B,0.9275
120,BZR,yes,0,DK,0.7321428571428571
121,BZR,yes,0,uGCN,0.7321428571428571
122,BZR,yes,0,Mix,0.7321428571428571
123,BZR,yes,0,GCN-A,0.8125
124,BZR,yes,0,GCN-B,0.8928571428571429
125,BZR,yes,1,DK,0.7142857142857143
126,BZR,yes,1,uGCN,0.6785714285714286
127,BZR,yes,1,Mix,0.75
128,BZR,yes,1,GCN-A,0.7839285714285714
129,BZR,yes,1,GCN-B,0.8214285714285714
130,BZR,yes,2,DK,0.6785714285714286
131,BZR,yes,2,uGCN,0.7857142857142857
132,BZR,yes,2,Mix,0.8214285714285714
133,BZR,yes,2,GCN-A,0.7928571428571428
134,BZR,yes,2,GCN-B,0.8571428571428571
135,BZR,yes,3,DK,0.7857142857142857
136,BZR,yes,3,uGCN,0.8214285714285714
137,BZR,yes,3,Mix,0.8035714285714286
138,BZR,yes,3,GCN-A,0.8392857142857142
139,BZR,yes,3,GCN-B,0.8571428571428571
140,BZR,yes,4,DK,0.7678571428571429
141,BZR,yes,4,uGCN,0.7857142857142857
142,BZR,yes,4,Mix,0.7678571428571429
143,BZR,yes,4,GCN-A,0.8017857142857142
144,BZR,yes,4,GCN-B,0.875
145,BZR,yes,5,DK,0.7678571428571429
146,BZR,yes,5,uGCN,0.8392857142857143
147,BZR,yes,5,Mix,0.8035714285714286
148,BZR,yes,5,GCN-A,0.825
149,BZR,yes,5,GCN-B,0.9285714285714286
150,BZR,yes,6,DK,0.75
151,BZR,yes,6,uGCN,0.8035714285714286
152,BZR,yes,6,Mix,0.75
153,BZR,yes,6,GCN-A,0.8232142857142858
154,BZR,yes,6,GCN-B,0.8571428571428571
155,BZR,yes,7,DK,0.7678571428571429
156,BZR,yes,7,uGCN,0.8035714285714286
157,BZR,yes,7,Mix,0.7678571428571429
158,BZR,yes,7,GCN-A,0.8035714285714286
159,BZR,yes,7,GCN-B,0.8928571428571429
160,BZR,yes,8,DK,0.7321428571428571
161,BZR,yes,8,uGCN,0.8035714285714286
162,BZR,yes,8,Mix,0.8035714285714286
163,BZR,yes,8,GCN-A,0.8107142857142857
164,BZR,yes,8,GCN-B,0.875
165,BZR,yes,9,DK,0.7142857142857143
166,BZR,yes,9,uGCN,0.75
167,BZR,yes,9,Mix,0.7142857142857143
168,BZR,yes,9,GCN-A,0.8160714285714284
169,BZR,yes,9,GCN-B,0.8392857142857143
170,BZR,yes,10,DK,0.8035714285714286
171,BZR,yes,10,uGCN,0.8214285714285714
172,BZR,yes,10,Mix,0.8214285714285714
173,BZR,yes,10,GCN-A,0.8321428571428571
174,BZR,yes,10,GCN-B,0.9107142857142857
175,BZR,yes,11,DK,0.6964285714285714
176,BZR,yes,11,uGCN,0.8035714285714286
177,BZR,yes,11,Mix,0.7678571428571429
178,BZR,yes,11,GCN-A,0.7839285714285714
179,BZR,yes,11,GCN-B,0.875
180,BZR,no,0,DK,0.8641975308641975
181,BZR,no,0,uGCN,0.8395061728395061
182,BZR,no,0,Mix,0.8641975308641975
183,BZR,no,0,GCN-A,0.8382716049382717
184,BZR,no,0,GCN-B,0.9259259259259259
185,BZR,no,1,DK,0.7654320987654321
186,BZR,no,1,uGCN,0.7654320987654321
187,BZR,no,1,Mix,0.8024691358024691
188,BZR,no,1,GCN-A,0.8753086419753087
189,BZR,no,1,GCN-B,0.9012345679012346
190,BZR,no,2,DK,0.8271604938271605
191,BZR,no,2,uGCN,0.8395061728395061
192,BZR,no,2,Mix,0.8518518518518519
193,BZR,no,2,GCN-A,0.8765432098765432
194,BZR,no,2,GCN-B,0.9012345679012346
195,BZR,no,3,DK,0.8395061728395061
196,BZR,no,3,uGCN,0.8024691358024691
197,BZR,no,3,Mix,0.7777777777777778
198,BZR,no,3,GCN-A,0.828395061728395
199,BZR,no,3,GCN-B,0.8765432098765432
200,BZR,no,4,DK,0.7654320987654321
201,BZR,no,4,uGCN,0.7777777777777778
202,BZR,no,4,Mix,0.8024691358024691
203,BZR,no,4,GCN-A,0.8160493827160493
204,BZR,no,4,GCN-B,0.8641975308641975
205,BZR,no,5,DK,0.8024691358024691
206,BZR,no,5,uGCN,0.8271604938271605
207,BZR,no,5,Mix,0.8395061728395061
208,BZR,no,5,GCN-A,0.8197530864197532
209,BZR,no,5,GCN-B,0.8641975308641975
210,BZR,no,6,DK,0.7901234567901234
211,BZR,no,6,uGCN,0.7654320987654321
212,BZR,no,6,Mix,0.8148148148148148
213,BZR,no,6,GCN-A,0.8123456790123456
214,BZR,no,6,GCN-B,0.8641975308641975
215,BZR,no,7,DK,0.8271604938271605
216,BZR,no,7,uGCN,0.8148148148148148
217,BZR,no,7,Mix,0.8148148148148148
218,BZR,no,7,GCN-A,0.8209876543209876
219,BZR,no,7,GCN-B,0.8641975308641975
220,BZR,no,8,DK,0.7901234567901234
221,BZR,no,8,uGCN,0.8395061728395061
222,BZR,no,8,Mix,0.8641975308641975
223,BZR,no,8,GCN-A,0.7901234567901234
224,BZR,no,8,GCN-B,0.8271604938271605
225,BZR,no,9,DK,0.8395061728395061
226,BZR,no,9,uGCN,0.8641975308641975
227,BZR,no,9,Mix,0.8765432098765432
228,BZR,no,9,GCN-A,0.8506172839506172
229,BZR,no,9,GCN-B,0.9135802469135802
230,BZR,no,10,DK,0.7777777777777778
231,BZR,no,10,uGCN,0.8271604938271605
232,BZR,no,10,Mix,0.8148148148148148
233,BZR,no,10,GCN-A,0.7962962962962963
234,BZR,no,10,GCN-B,0.8395061728395061
235,BZR,no,11,DK,0.9012345679012346
236,BZR,no,11,uGCN,0.8888888888888888
237,BZR,no,11,Mix,0.8765432098765432
238,BZR,no,11,GCN-A,0.8320987654320987
239,BZR,no,11,GCN-B,0.8765432098765432
240,COX2,yes,0,DK,0.5416666666666666
241,COX2,yes,0,uGCN,0.7291666666666666
242,COX2,yes,0,Mix,0.7291666666666666
243,COX2,yes,0,GCN-A,0.7812499999999999
244,COX2,yes,0,GCN-B,0.8333333333333334
245,COX2,yes,1,DK,0.5208333333333334
246,COX2,yes,1,uGCN,0.7291666666666666
247,COX2,yes,1,Mix,0.6875
248,COX2,yes,1,GCN-A,0.7104166666666667
249,COX2,yes,1,GCN-B,0.7916666666666666
250,COX2,yes,2,DK,0.6458333333333334
251,COX2,yes,2,uGCN,0.75
252,COX2,yes,2,Mix,0.7083333333333334
253,COX2,yes,2,GCN-A,0.76875
254,COX2,yes,2,GCN-B,0.8125
255,COX2,yes,3,DK,0.5625
256,COX2,yes,3,uGCN,0.7083333333333334
257,COX2,yes,3,Mix,0.7291666666666666
258,COX2,yes,3,GCN-A,0.7208333333333333
259,COX2,yes,3,GCN-B,0.7708333333333334
260,COX2,yes,4,DK,0.5833333333333334
261,COX2,yes,4,uGCN,0.75
262,COX2,yes,4,Mix,0.7083333333333334
263,COX2,yes,4,GCN-A,0.6812500000000001
264,COX2,yes,4,GCN-B,0.7708333333333334
265,COX2,yes,5,DK,0.625
266,COX2,yes,5,uGCN,0.6666666666666666
267,COX2,yes,5,Mix,0.75
268,COX2,yes,5,GCN-A,0.775
269,COX2,yes,5,GCN-B,0.8125
270,COX2,yes,6,DK,0.6458333333333334
271,COX2,yes,6,uGCN,0.7916666666666666
272,COX2,yes,6,Mix,0.7916666666666666
273,COX2,yes,6,GCN-A,0.7416666666666666
274,COX2,yes,6,GCN-B,0.875
275,COX2,yes,7,DK,0.6041666666666666
276,COX2,yes,7,uGCN,0.6458333333333334
277,COX2,yes,7,Mix,0.6041666666666666
278,COX2,yes,7,GCN-A,0.73125
279,COX2,yes,7,GCN-B,0.7916666666666666
280,COX2,yes,8,DK,0.5625
281,COX2,yes,8,uGCN,0.7083333333333334
282,COX2,yes,8,Mix,0.6875
283,COX2,yes,8,GCN-A,0.7604166666666666
284,COX2,yes,8,GCN-B,0.8333333333333334
285,COX2,yes,9,DK,0.6041666666666666
286,COX2,yes,9,uGCN,0.75
287,COX2,yes,9,Mix,0.7708333333333334
288,COX2,yes,9,GCN-A,0.8104166666666668
289,COX2,yes,9,GCN-B,0.8333333333333334
290,COX2,yes,10,DK,0.5
291,COX2,yes,10,uGCN,0.6458333333333334
292,COX2,yes,10,Mix,0.625
293,COX2,yes,10,GCN-A,0.7333333333333333
294,COX2,yes,10,GCN-B,0.7708333333333334
295,COX2,yes,11,DK,0.5833333333333334
296,COX2,yes,11,uGCN,0.6875
297,COX2,yes,11,Mix,0.6666666666666666
298,COX2,yes,11,GCN-A,0.7791666666666666
299,COX2,yes,11,GCN-B,0.8333333333333334
300,COX2,no,0,DK,0.7659574468085106
301,COX2,no,0,uGCN,0.7978723404255319
302,COX2,no,0,Mix,0.8085106382978723
303,COX2,no,0,GCN-A,0.8074468085106382
304,COX2,no,0,GCN-B,0.8617021276595744
305,COX2,no,1,DK,0.7446808510638298
306,COX2,no,1,uGCN,0.776595744680851
307,COX2,no,1,Mix,0.776595744680851
308,COX2,no,1,GCN-A,0.8404255319148938
309,COX2,no,1,GCN-B,0.851063829787234
310,COX2,no,2,DK,0.7021276595744681
311,COX2,no,2,uGCN,0.8404255319148937
312,COX2,no,2,Mix,0.8191489361702128
313,COX2,no,2,GCN-A,0.8563829787234043
314,COX2,no,2,GCN-B,0.8723404255319149
315,COX2,no,3,DK,0.7659574468085106
316,COX2,no,3,uGCN,0.7446808510638298
317,COX2,no,3,Mix,0.7446808510638298
318,COX2,no,3,GCN-A,0.8148936170212766
319,COX2,no,3,GCN-B,0.8297872340425532
320,COX2,no,4,DK,0.7553191489361702
321,COX2,no,4,uGCN,0.723404255319149
322,COX2,no,4,Mix,0.723404255319149
323,COX2,no,4,GCN-A,0.7776595744680851
324,COX2,no,4,GCN-B,0.8191489361702128
325,COX2,no,5,DK,0.7446808510638298
326,COX2,no,5,uGCN,0.7872340425531915
327,COX2,no,5,Mix,0.8191489361702128
328,COX2,no,5,GCN-A,0.8212765957446809
329,COX2,no,5,GCN-B,0.8404255319148937
330,COX2,no,6,DK,0.7978723404255319
331,COX2,no,6,uGCN,0.7872340425531915
332,COX2,no,6,Mix,0.7978723404255319
333,COX2,no,6,GCN-A,0.8808510638297873
334,COX2,no,6,GCN-B,0.9042553191489362
335,COX2,no,7,DK,0.7446808510638298
336,COX2,no,7,uGCN,0.8617021276595744
337,COX2,no,7,Mix,0.851063829787234
338,COX2,no,7,GCN-A,0.85
339,COX2,no,7,GCN-B,0.8723404255319149
340,COX2,no,8,DK,0.723404255319149
341,COX2,no,8,uGCN,0.7978723404255319
342,COX2,no,8,Mix,0.7872340425531915
343,COX2,no,8,GCN-A,0.8308510638297871
344,COX2,no,8,GCN-B,0.851063829787234
345,COX2,no,9,DK,0.723404255319149
346,COX2,no,9,uGCN,0.7340425531914894
347,COX2,no,9,Mix,0.7340425531914894
348,COX2,no,9,GCN-A,0.8106382978723404
349,COX2,no,9,GCN-B,0.8404255319148937
350,COX2,no,10,DK,0.648936170212766
351,COX2,no,10,uGCN,0.6808510638297872
352,COX2,no,10,Mix,0.6808510638297872
353,COX2,no,10,GCN-A,0.7127659574468086
354,COX2,no,10,GCN-B,0.7553191489361702
355,COX2,no,11,DK,0.7659574468085106
356,COX2,no,11,uGCN,0.7659574468085106
357,COX2,no,11,Mix,0.7553191489361702
358,COX2,no,11,GCN-A,0.8138297872340425
359,COX2,no,11,GCN-B,0.851063829787234
360,DHFR,yes,0,DK,0.6637931034482759
361,DHFR,yes,0,uGCN,0.7068965517241379
362,DHFR,yes,0,Mix,0.7068965517241379
363,DHFR,yes,0,GCN-A,0.7112068965517242
364,DHFR,yes,0,GCN-B,0.75
365,DHFR,yes,1,DK,0.6810344827586207
366,DHFR,yes,1,uGCN,0.7413793103448276
367,DHFR,yes,1,Mix,0.7758620689655172
368,DHFR,yes,1,GCN-A,0.6922413793103448
369,DHFR,yes,1,GCN-B,0.7155172413793104
370,DHFR,yes,2,DK,0.6637931034482759
371,DHFR,yes,2,uGCN,0.7672413793103449
372,DHFR,yes,2,Mix,0.7758620689655172
373,DHFR,yes,2,GCN-A,0.6905172413793105
374,DHFR,yes,2,GCN-B,0.7413793103448276
375,DHFR,yes,3,DK,0.6724137931034483
376,DHFR,yes,3,uGCN,0.6896551724137931
377,DHFR,yes,3,Mix,0.6637931034482759
378,DHFR,yes,3,GCN-A,0.7336206896551725
379,DHFR,yes,3,GCN-B,0.8017241379310345
380,DHFR,yes,4,DK,0.6293103448275862
381,DHFR,yes,4,uGCN,0.7241379310344828
